iter	Passed	Remaining
0	18642	18623456
1	36999	18462933
2	56928	18919383
3	77252	19235755
4	98476	19596885
5	117535	19471794
6	134641	19099855
7	154014	19097777
8	173462	19100133
9	192378	19045422
10	211820	19044591
11	232802	19167415
12	252164	19145128
13	272884	19218894
14	292602	19214258
15	310411	19090287
16	329359	19044727
17	348546	19015151
18	369301	19067631
19	388248	19024198
20	407004	18974144
21	429571	19096421
22	449610	19098661
23	468947	19070520
24	488144	19037631
25	506422	18971358
26	525866	18950658
27	546111	18957878
28	563625	18871744
29	582445	18832392
30	600321	18764883
31	618897	18721656
32	638515	18710451
33	657745	18687706
34	676792	18660146
35	695749	18630632
36	714206	18588678
37	732745	18550043
38	751438	18516217
39	771610	18518648
40	792591	18538919
41	812398	18530414
42	831598	18507891
43	851943	18510404
44	872884	18524553
45	892437	18508380
46	911893	18490093
47	931141	18467636
48	952917	18494382
49	974042	18506804
50	993122	18479863
51	1013411	18475271
52	1033302	18462966
53	1053094	18448652
54	1075694	18482393
55	1095374	18464884
56	1115938	18461929
57	1135983	18449944
58	1156049	18438007
59	1176674	18434565
60	1199878	18470262
61	1219631	18451845
62	1240454	18449302
63	1261738	18452921
64	1281352	18431760
65	1306123	18483631
66	1331729	18544824
67	1356224	18588248
68	1379353	18611274
69	1401629	18621654
70	1423348	18623818
71	1444712	18620740
72	1466294	18619936
